,Beta_w,r_b,weight
259,3.168610334,1.277037002,0.00064128
260,2.133185055,1.382789919,0.000422934
261,8.117711609,1.355404617,0.000792651
262,1.452292123,1.430666608,0.000290475
263,1.439746046,1.413411106,0.000370953
264,1.764530787,1.601242354,0.000355069
265,6.252948644,1.394003531,0.004972212
266,1.372813448,1.571066521,0.000475632
267,1.395522083,1.752800589,0.000540836
268,1.457496692,1.464718259,0.000360887
269,1.546734978,1.528271019,0.000501696
270,1.435704219,1.541160424,0.000521315
271,1.661702768,1.280640815,0.0003574
272,7.781696567,1.476117054,0.001350007
273,1.595188381,1.547017602,0.000677203
274,1.352365329,1.687212162,0.000379854
275,1.543614181,1.492414593,0.000673381
276,7.452779071,1.401033997,0.000626758
277,6.095410765,1.388457896,0.001623735
278,6.266531805,1.373753083,0.000990874
279,1.421211649,1.490948629,0.001417793
280,6.887120958,1.409589138,0.001804484
281,1.297167978,1.805601294,0.000719433
282,1.598150067,1.475052244,0.000440422
283,9.640378929,1.586790327,0.001120565
284,1.508958525,1.667282582,0.000473119
285,1.82679083,1.247433092,0.001169788
286,1.296902391,1.743808418,0.000455129
287,1.48402655,1.66039786,0.000395033
288,3.426477125,1.250102542,0.002310013
289,1.563937313,1.271004535,0.000468999
290,1.352124262,1.686649582,0.000905198
291,1.392792372,1.629225867,0.000471381
292,1.46839589,1.561836183,0.000296483
293,1.475537182,1.417516748,0.000362793
294,1.536518327,1.4020559,0.000348181
295,1.469307883,1.604530464,0.000929738
296,1.373519625,1.574663664,0.00033934
297,1.448499663,1.517934933,0.000285086
298,1.350562742,1.734426118,0.000579673
299,1.781015086,1.486521887,0.000492467
300,1.491738012,1.531529307,0.000307843
301,1.342918133,1.685901493,0.000401631
302,1.506199635,1.53529769,0.000386882
303,1.364788361,1.541994271,0.00056439
304,8.427230943,1.441925083,0.00089886
305,1.298119214,1.724454589,0.000625517
306,1.655758055,1.402649105,0.000636966
307,1.424117547,1.707734499,0.00047909
308,1.33702681,1.728911854,0.000355078
309,1.582802741,1.394334411,0.000402998
310,1.319689932,1.487925949,0.000308241
311,1.540609103,1.487994718,0.000364738
312,8.294356267,1.400761274,0.001619386
313,2.098701468,1.371185513,0.000397901
314,1.398575338,1.45513824,0.000455879
315,1.377394772,1.539257999,0.000375812
316,1.313894919,1.604515687,0.000379236
317,1.431534582,1.664532123,0.000379397
318,1.67344027,1.390540915,0.0003273
319,8.240663717,1.314661912,0.00091476
320,1.510769546,1.567263567,0.000383749
321,1.605300834,1.44041458,0.000621391
322,1.406959255,1.600499182,0.000676076
323,1.343164991,1.627203549,0.000843002
324,1.288151889,1.771302074,0.000444529
325,1.359888706,1.715509471,0.000404862
326,1.555973007,1.585168551,0.000285415
327,1.417601262,1.638630481,0.000312887
328,1.467911972,1.448376473,0.000260257
329,1.365431617,1.619156621,0.000428695
330,1.342411249,1.684145971,0.000523334
331,1.727154746,1.406102226,0.000438523
332,1.313799158,1.60346495,0.000366703
333,1.34169724,1.475671718,0.000343133
334,1.474643624,1.551012218,0.000387228
335,9.765629039,1.349841628,0.002835061
336,1.48181899,1.572502666,0.00030409
337,1.35235414,1.47739179,0.000311448
338,1.496828942,1.505403859,0.000563776
339,1.337804655,1.509666634,0.000314816
340,1.334598544,1.810473245,0.000391947
341,1.349460214,1.54586093,0.000402907
342,1.311246708,1.658974344,0.001947043
343,1.654707929,1.40469519,0.000402546
344,1.789002111,1.43288375,0.000373552
345,1.442437023,1.507346428,0.000526194
346,1.386256575,1.592607242,0.001011944
347,1.419187607,1.660119005,0.000344713
348,1.446275178,1.612586575,0.000619518
349,2.044732669,1.364891164,0.002163419
350,1.358802983,1.597672626,0.000306534
351,1.373786184,1.585213813,0.000338349
352,1.351273553,1.605067441,0.000381215
353,1.394086895,1.617569058,0.000315198
354,2.178891673,1.338796634,0.000770134
355,1.29159112,1.986072125,0.000692073
356,1.388420117,1.688898907,0.000706801
357,1.583279629,1.671516563,0.000379561
358,1.429330278,1.451361704,0.000635988
359,1.319077264,1.666331863,0.000446998
360,6.860964115,1.382366689,0.00066124
361,1.5819333,1.664678399,0.000372436
362,1.446148167,1.50781729,0.000399062
363,2.294851822,1.359526451,0.000675509
364,1.436729129,1.632211217,0.000446715
365,1.630082333,1.437422841,0.000481647
366,1.405731524,1.587487453,0.000377434
367,1.463994998,1.585787436,0.000799628
368,1.497202021,1.702111697,0.000580307
369,1.506370007,1.586802605,0.000448584
370,1.308110881,1.931663195,0.000615309
371,4.531619216,1.457715455,0.00216579
372,2.079672436,1.316665778,0.000440687
373,1.58214254,1.557435603,0.000441676
374,1.492283567,1.5540242,0.000289862
375,1.30882862,1.656105529,0.000751221
376,1.42673952,1.354830873,0.000464924
377,1.417760544,1.462217584,0.000688624
378,1.338515685,1.508816211,0.002460166
379,1.39965143,1.394510739,0.000465677
380,6.595694103,1.534014429,0.001377371
381,1.381559784,1.621240183,0.000284655
382,1.789109562,1.432341714,0.000522635
383,7.085068897,1.429337617,0.001320761
384,1.35565796,1.618445531,0.001055653
385,1.343655119,1.767551541,0.000717035
386,8.746897826,1.259015044,0.000934106
387,1.323277061,1.91324299,0.001492564
388,1.493083385,1.416233289,0.00034303
389,4.009376525,1.496009946,0.007818297
390,1.593112742,1.315573327,0.00035115
391,1.360199516,1.563986003,0.000406131
392,1.789538715,1.432624357,0.000420135
393,1.377466805,1.49158359,0.000277287
394,1.650482888,1.458263926,0.000317063
395,6.830930939,1.443397869,0.001034585
396,6.217603649,1.492309503,0.001200866
397,6.752956844,1.351573182,0.00055933
398,7.229169285,1.355684239,0.000707676
399,1.404009482,1.461800508,0.001205914
400,8.841337245,1.381182163,0.0019486
401,1.374889082,1.456058059,0.000297011
402,1.496877657,1.702733657,0.000335429
403,1.734652319,1.470782566,0.000324856
404,6.958258281,1.287069192,0.000545536
405,1.310004955,1.658760173,0.000498453
406,1.369054984,1.554820328,0.000459549
407,1.341357792,1.507025899,0.000421159
408,1.291009662,1.617977052,0.000404737
409,1.291247064,2.191200306,0.002479594
410,1.564593476,1.527823251,0.000378824
411,1.455162155,1.627893287,0.000477721
412,8.250130558,1.480541258,0.001041979
413,1.330921821,1.741457219,0.000541078
414,1.767230256,1.418581813,0.000482248
415,1.736425667,1.363829552,0.000337519
416,1.337288759,1.5084718,0.000633722
417,1.42138261,1.788158671,0.000655064
418,1.466724156,1.425049603,0.000266652
419,2.17858248,1.338185689,0.000631574
